时间戳,事件类型,详细信息
2025-10-14 09:44:29,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --save-txt --no-save --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:44:30,摄像头检测,摄像头检测进程已成功启动
��个非套接字上尝试了一个操作。
2025-10-14 09:44:33,状态变化,从 SystemState.CLOSING 切换到 SystemState.IDLE
2025-10-14 09:44:33,检测控制,停止摄像头实时检测
2025-10-14 09:44:33,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:44:33,摄像头检测,摄像头检测进程已停止
2025-10-14 09:44:36,摄像头检测,摄像头检测进程未运行
2025-10-14 09:44:46,摄像头检测,摄像头检测进程未运行
2025-10-14 09:44:46,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --save-txt --no-save --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:44:47,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:44:47,错误,监控检测进程失败: [WinError 10038] 在一个非套接字上尝试了一个操作。
2025-10-14 09:44:49,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 09:44:49,检测控制,开始摄像头实时检测
2025-10-14 09:44:49,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:44:49,摄像头检测,摄像头检测进程已停止
2025-10-14 09:44:49,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --save-txt --no-save --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:44:50,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:44:50,错误,监控检测进程失败: [WinError 10038] 在一个非套接字上尝试了一个操作。
2025-10-14 09:44:57,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:44:57,摄像头检测,摄像头检测进程已停止
2025-10-14 09:45:02,摄像头检测,摄像头检测进程未运行
2025-10-14 09:46:05,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 09:46:10,模型加载,成功加载模型: yolov5s.pt
2025-10-14 09:46:13,摄像头检测,摄像头检测进程未运行
2025-10-14 09:46:13,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --save-txt --no-save --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:46:14,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:46:17,错误,摄像头检测进程意外退出，退出码: 2
2025-10-14 09:46:17,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 09:46:17,检测控制,开始摄像头实时检测
2025-10-14 09:46:17,摄像头检测,摄像头检测进程未运行
2025-10-14 09:46:17,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --save-txt --no-save --conf-thres 0.4 --iou-thres 0.45 --classes 0 24 25 26 28 39 41 67 27 77
2025-10-14 09:46:17,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:46:20,错误,摄像头检测进程意外退出，退出码: 2
2025-10-14 09:46:26,状态变化,从 SystemState.CLOSING 切换到 SystemState.CLOSED
2025-10-14 09:46:26,检测控制,停止摄像头实时检测
2025-10-14 09:46:26,摄像头检测,摄像头检测进程未运行
2025-10-14 09:46:30,摄像头检测,摄像头检测进程未运行
2025-10-14 09:46:33,摄像头检测,摄像头检测进程未运行
2025-10-14 09:46:39,摄像头检测,摄像头检测进程未运行
2025-10-14 09:49:29,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 09:49:33,模型加载,成功加载模型: yolov5s.pt
2025-10-14 09:49:39,摄像头检测,摄像头检测进程未运行
2025-10-14 09:49:39,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --conf-thres 0.4 --iou-thres 0.45
2025-10-14 09:49:39,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:49:51,错误,摄像头检测进程意外退出，退出码: 1
2025-10-14 09:49:53,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 09:49:53,检测控制,开始摄像头实时检测
2025-10-14 09:49:53,摄像头检测,摄像头检测进程未运行
2025-10-14 09:49:53,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --conf-thres 0.4 --iou-thres 0.45
2025-10-14 09:49:54,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:50:05,错误,摄像头检测进程意外退出，退出码: 1
2025-10-14 09:50:27,摄像头检测,摄像头检测进程未运行
2025-10-14 09:50:31,摄像头检测,摄像头检测进程未运行
2025-10-14 09:52:32,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 09:52:37,模型加载,成功加载模型: yolov5s.pt
2025-10-14 09:52:41,摄像头检测,摄像头检测进程未运行
2025-10-14 09:52:41,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --conf-thres 0.4 --iou-thres 0.45
2025-10-14 09:52:41,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:52:47,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 09:52:47,检测控制,开始摄像头实时检测
2025-10-14 09:52:47,摄像头检测,尝试停止摄像头检测进程
2025-10-14 09:52:47,摄像头检测,摄像头检测进程已停止
2025-10-14 09:52:47,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --conf-thres 0.4 --iou-thres 0.45
2025-10-14 09:52:47,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:53:00,错误,摄像头检测进程意外退出，退出码: 1
2025-10-14 09:53:09,摄像头检测,摄像头检测进程未运行
2025-10-14 09:53:16,状态变化,从 SystemState.CLOSING 切换到 SystemState.IDLE
2025-10-14 09:53:16,检测控制,停止摄像头实时检测
2025-10-14 09:53:16,摄像头检测,摄像头检测进程未运行
2025-10-14 09:53:27,摄像头检测,摄像头检测进程未运行
2025-10-14 09:58:54,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 09:58:58,模型加载,成功加载模型: yolov5s.pt
2025-10-14 09:59:02,摄像头检测,摄像头检测进程未运行
2025-10-14 09:59:02,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --conf-thres 0.4 --iou-thres 0.45 --no-view
2025-10-14 09:59:03,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:59:06,错误,摄像头检测进程意外退出，退出码: 2
2025-10-14 09:59:07,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 09:59:07,检测控制,开始摄像头实时检测
2025-10-14 09:59:07,摄像头检测,摄像头检测进程未运行
2025-10-14 09:59:07,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --conf-thres 0.4 --iou-thres 0.45 --no-view
2025-10-14 09:59:07,摄像头检测,摄像头检测进程已成功启动
2025-10-14 09:59:10,错误,摄像头检测进程意外退出，退出码: 2
2025-10-14 09:59:19,状态变化,从 SystemState.CLOSING 切换到 SystemState.CLOSED
2025-10-14 09:59:19,检测控制,停止摄像头实时检测
2025-10-14 09:59:19,摄像头检测,摄像头检测进程未运行
2025-10-14 09:59:34,摄像头检测,摄像头检测进程未运行
2025-10-14 10:00:01,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 10:00:05,模型加载,成功加载模型: yolov5s.pt
2025-10-14 10:00:08,摄像头检测,摄像头检测进程未运行
2025-10-14 10:00:08,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --conf-thres 0.4 --iou-thres 0.45
2025-10-14 10:00:09,摄像头检测,摄像头检测进程已成功启动
2025-10-14 10:00:14,状态变化,从 SystemState.IDLE 切换到 SystemState.CLOSING
2025-10-14 10:00:14,检测控制,开始摄像头实时检测
2025-10-14 10:00:14,摄像头检测,尝试停止摄像头检测进程
2025-10-14 10:00:14,摄像头检测,摄像头检测进程已停止
2025-10-14 10:00:14,摄像头检测,开始摄像头实时检测，命令: D:\AppInstall\pythonPyTorch+yolo\anaconda\install\envs\pytorch\python.exe e:\kaifa\gapDetection_trae\detect.py --source 0 --conf-thres 0.4 --iou-thres 0.45
2025-10-14 10:00:15,摄像头检测,摄像头检测进程已成功启动
2025-10-14 10:00:26,错误,摄像头检测进程意外退出，退出码: 1
2025-10-14 10:00:37,状态变化,从 SystemState.CLOSING 切换到 SystemState.CLOSED
2025-10-14 10:00:37,检测控制,停止摄像头实时检测
2025-10-14 10:00:37,摄像头检测,摄像头检测进程未运行
2025-10-14 10:00:39,摄像头检测,摄像头检测进程未运行
2025-10-14 10:00:43,摄像头检测,摄像头检测进程未运行
2025-10-14 10:17:22,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 10:18:11,错误,加载模型失败: No module named 'ultralytics'
2025-10-14 10:21:49,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 10:22:47,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 10:30:12,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 10:39:50,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 10:39:52,错误,加载模型失败: cannot import name 'scale_coords' from 'utils.general' (E:\kaifa\gapDetection_trae\utils\general.py)
2025-10-14 10:39:56,错误,加载模型失败: cannot import name 'scale_coords' from 'utils.general' (E:\kaifa\gapDetection_trae\utils\general.py)
2025-10-14 10:39:56,错误,启动摄像头检测失败: 模型未加载且重新加载失败
2025-10-14 10:39:57,错误,检测失败: 模型未加载
2025-10-14 10:40:03,错误,加载模型失败: cannot import name 'scale_coords' from 'utils.general' (E:\kaifa\gapDetection_trae\utils\general.py)
2025-10-14 10:40:03,错误,启动摄像头检测失败: 模型未加载且重新加载失败
2025-10-14 10:40:03,错误,检测失败: 模型未加载
2025-10-14 10:40:09,摄像头检测,摄像头检测已停止
2025-10-14 10:40:12,摄像头检测,摄像头检测已停止
2025-10-14 10:42:29,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 10:42:30,错误,加载模型失败: No module named 'utils.datasets'
2025-10-14 10:42:47,错误,加载模型失败: No module named 'utils.datasets'
2025-10-14 10:42:47,错误,启动摄像头检测失败: 模型未加载且重新加载失败
2025-10-14 10:42:47,错误,检测失败: 模型未加载
2025-10-14 10:42:55,摄像头检测,摄像头检测已停止
2025-10-14 10:44:37,系统启动,地铁屏蔽门间隙检测系统正在启动...
2025-10-14 10:44:38,错误,加载模型失败: cannot import name 'check_requirements' from 'utils.general' (E:\kaifa\gapDetection_trae\utils\general.py)
2025-10-14 10:44:48,错误,加载模型失败: cannot import name 'check_requirements' from 'utils.general' (E:\kaifa\gapDetection_trae\utils\general.py)
2025-10-14 10:44:48,错误,启动摄像头检测失败: 模型未加载且重新加载失败
2025-10-14 10:44:48,错误,检测失败: 模型未加载
2025-10-14 10:44:53,错误,加载模型失败: cannot import name 'check_requirements' from 'utils.general' (E:\kaifa\gapDetection_trae\utils\general.py)
